img1,img2,GT
datasets/train/Tiszadob_Scene1_img1_Clip47_View2.png,datasets/train/Tiszadob_Scene1_img2_Clip47_View2.png,datasets/trainGT/Tiszadob_Scene1_gt_Clip47_View2.png
datasets/train/Tiszadob_Scene4_img1_Clip50_View1.png,datasets/train/Tiszadob_Scene4_img2_Clip50_View1.png,datasets/trainGT/Tiszadob_Scene4_gt_Clip50_View1.png
datasets/train/Szada_Scene5_img1_Clip26_View5.png,datasets/train/Szada_Scene5_img2_Clip26_View5.png,datasets/trainGT/Szada_Scene5_gt_Clip26_View5.png
datasets/train/Tiszadob_Scene3_img1_Clip16_View1.png,datasets/train/Tiszadob_Scene3_img2_Clip16_View1.png,datasets/trainGT/Tiszadob_Scene3_gt_Clip16_View1.png
datasets/train/Szada_Scene7_img1_Clip27_View1.png,datasets/train/Szada_Scene7_img2_Clip27_View1.png,datasets/trainGT/Szada_Scene7_gt_Clip27_View1.png
datasets/train/Szada_Scene6_img1_Clip32_View4.png,datasets/train/Szada_Scene6_img2_Clip32_View4.png,datasets/trainGT/Szada_Scene6_gt_Clip32_View4.png
datasets/train/Tiszadob_Scene1_img1_Clip33_View3.png,datasets/train/Tiszadob_Scene1_img2_Clip33_View3.png,datasets/trainGT/Tiszadob_Scene1_gt_Clip33_View3.png
datasets/train/Szada_Scene4_img1_Clip16_View0.png,datasets/train/Szada_Scene4_img2_Clip16_View0.png,datasets/trainGT/Szada_Scene4_gt_Clip16_View0.png
datasets/train/Tiszadob_Scene4_img1_Clip37_View1.png,datasets/train/Tiszadob_Scene4_img2_Clip37_View1.png,datasets/trainGT/Tiszadob_Scene4_gt_Clip37_View1.png
datasets/train/Szada_Scene3_img1_Clip32_View3.png,datasets/train/Szada_Scene3_img2_Clip32_View3.png,datasets/trainGT/Szada_Scene3_gt_Clip32_View3.png
datasets/train/Szada_Scene2_img1_Clip45_View1.png,datasets/train/Szada_Scene2_img2_Clip45_View1.png,datasets/trainGT/Szada_Scene2_gt_Clip45_View1.png
datasets/train/Tiszadob_Scene2_img1_Clip2_View3.png,datasets/train/Tiszadob_Scene2_img2_Clip2_View3.png,datasets/trainGT/Tiszadob_Scene2_gt_Clip2_View3.png
datasets/train/Tiszadob_Scene5_img1_Clip4_View2.png,datasets/train/Tiszadob_Scene5_img2_Clip4_View2.png,datasets/trainGT/Tiszadob_Scene5_gt_Clip4_View2.png
datasets/train/Szada_Scene7_img1_Clip29_View2.png,datasets/train/Szada_Scene7_img2_Clip29_View2.png,datasets/trainGT/Szada_Scene7_gt_Clip29_View2.png
datasets/train/Tiszadob_Scene4_img1_Clip20_View1.png,datasets/train/Tiszadob_Scene4_img2_Clip20_View1.png,datasets/trainGT/Tiszadob_Scene4_gt_Clip20_View1.png
datasets/train/Szada_Scene4_img1_Clip9_View5.png,datasets/train/Szada_Scene4_img2_Clip9_View5.png,datasets/trainGT/Szada_Scene4_gt_Clip9_View5.png
datasets/train/Szada_Scene3_img1_Clip0_View1.png,datasets/train/Szada_Scene3_img2_Clip0_View1.png,datasets/trainGT/Szada_Scene3_gt_Clip0_View1.png
datasets/train/Tiszadob_Scene5_img1_Clip23_View1.png,datasets/train/Tiszadob_Scene5_img2_Clip23_View1.png,datasets/trainGT/Tiszadob_Scene5_gt_Clip23_View1.png
datasets/train/Tiszadob_Scene5_img1_Clip33_View3.png,datasets/train/Tiszadob_Scene5_img2_Clip33_View3.png,datasets/trainGT/Tiszadob_Scene5_gt_Clip33_View3.png
datasets/train/Tiszadob_Scene5_img1_Clip5_View1.png,datasets/train/Tiszadob_Scene5_img2_Clip5_View1.png,datasets/trainGT/Tiszadob_Scene5_gt_Clip5_View1.png
datasets/train/Tiszadob_Scene4_img1_Clip31_View5.png,datasets/train/Tiszadob_Scene4_img2_Clip31_View5.png,datasets/trainGT/Tiszadob_Scene4_gt_Clip31_View5.png
datasets/train/Szada_Scene2_img1_Clip12_View0.png,datasets/train/Szada_Scene2_img2_Clip12_View0.png,datasets/trainGT/Szada_Scene2_gt_Clip12_View0.png
datasets/train/Tiszadob_Scene2_img1_Clip13_View2.png,datasets/train/Tiszadob_Scene2_img2_Clip13_View2.png,datasets/trainGT/Tiszadob_Scene2_gt_Clip13_View2.png
datasets/train/Szada_Scene4_img1_Clip17_View5.png,datasets/train/Szada_Scene4_img2_Clip17_View5.png,datasets/trainGT/Szada_Scene4_gt_Clip17_View5.png
